排名,英文,語料次數,頻率層,詞性,中文,學習優先度,類型,過去式,過去分詞,不規則,筆記
1997,gathered,59,02｜高頻,,,A 基礎優先,,,,,
1998,insisted,59,02｜高頻,,,A 基礎優先,,,,,
1999,mistaken,59,02｜高頻,,,A 基礎優先,,,,,
2000,mrs,59,02｜高頻,,,A 基礎優先,,,,,
2001,naturally,59,02｜高頻,,,A 基礎優先,,,,,
2002,page,59,02｜高頻,n.,頁,B 中高級核心,名詞,—,—,—,
2003,patients,59,02｜高頻,,,A 基礎優先,,,,,
2004,physical,59,02｜高頻,adj.,身體的；物理的,B 中高級核心,形容詞,—,—,—,
2005,planters,59,02｜高頻,,,A 基礎優先,,,,,
2006,playing,59,02｜高頻,,,A 基礎優先,,,,,
2007,reform,59,02｜高頻,,,A 基礎優先,,,,,
2008,search,59,02｜高頻,v./n.,搜尋,B 中高級核心,動詞；名詞,searched,searched,否,
2009,situated,59,02｜高頻,,,A 基礎優先,,,,,
2010,striking,59,02｜高頻,,,A 基礎優先,,,,,
2011,suppose,59,02｜高頻,,,A 基礎優先,,,,,
2012,acting,58,02｜高頻,,,A 基礎優先,,,,,
2013,approval,58,02｜高頻,n.,批准；同意,A 基礎必會,名詞,—,—,—,
2014,brain,58,02｜高頻,n.,大腦,A 基礎必會,名詞,—,—,—,
2015,burns,58,02｜高頻,,,A 基礎優先,,,,,
2016,conclusion,58,02｜高頻,,,A 基礎優先,,,,,
2017,confusion,58,02｜高頻,,,A 基礎優先,,,,,
2018,deeper,58,02｜高頻,,,A 基礎優先,,,,,
2019,disappeared,58,02｜高頻,,,A 基礎優先,,,,,
2020,ears,58,02｜高頻,,,A 基礎優先,,,,,
2021,electronic,58,02｜高頻,adj.,電子的,A 基礎必會,形容詞,—,—,—,
2022,explanation,58,02｜高頻,n.,解釋,A 基礎必會,名詞,—,—,—,
2023,extension,58,02｜高頻,,,A 基礎優先,,,,,
2024,forever,58,02｜高頻,,,A 基礎優先,,,,,
2025,gentle,58,02｜高頻,,,A 基礎優先,,,,,
2026,greatly,58,02｜高頻,,,A 基礎優先,,,,,
2027,hurried,58,02｜高頻,,,A 基礎優先,,,,,
2028,hut,58,02｜高頻,,,A 基礎優先,,,,,
2029,intended,58,02｜高頻,,,A 基礎優先,,,,,
2030,issued,58,02｜高頻,,,A 基礎優先,,,,,
2031,leadership,58,02｜高頻,,,A 基礎優先,,,,,
2032,missouri,58,02｜高頻,,,A 基礎優先,,,,,
2033,organs,58,02｜高頻,,,A 基礎優先,,,,,
2034,raw,58,02｜高頻,,,A 基礎優先,,,,,
2035,reaching,58,02｜高頻,,,A 基礎優先,,,,,
2036,reception,58,02｜高頻,,,A 基礎優先,,,,,
2037,rules,58,02｜高頻,,,A 基礎優先,,,,,
2038,shadow,58,02｜高頻,,,A 基礎優先,,,,,
2039,swollen,58,02｜高頻,,,A 基礎優先,,,,,
2040,uttered,58,02｜高頻,,,A 基礎優先,,,,,
2041,vice,58,02｜高頻,,,A 基礎優先,,,,,
2042,watched,58,02｜高頻,,,A 基礎優先,,,,,
2043,wore,58,02｜高頻,,,A 基礎優先,,,,,
2044,accept,57,02｜高頻,v.,接受,A 基礎必會,動詞,accepted,accepted,否,
2045,acquired,57,02｜高頻,,,A 基礎優先,,,,,
2046,animal,57,02｜高頻,n.,動物,A 基礎必會,名詞,—,—,—,
2047,colony,57,02｜高頻,,,A 基礎優先,,,,,
2048,concluded,57,02｜高頻,,,A 基礎優先,,,,,
2049,daniel,57,02｜高頻,,,A 基礎優先,,,,,
2050,destroy,57,02｜高頻,,,A 基礎優先,,,,,
2051,education,57,02｜高頻,n.,教育,A 基礎必會,名詞,—,—,—,
2052,function,57,02｜高頻,n.,功能,A 基礎必會,名詞,—,—,—,
2053,ideas,57,02｜高頻,,,A 基礎優先,,,,,
2054,immediate,57,02｜高頻,adj.,立即的,B 中高級核心,形容詞,—,—,—,
2055,kill,57,02｜高頻,,,A 基礎優先,,,,,
2056,leucocytes,57,02｜高頻,,,A 基礎優先,,,,,
2057,noticing,57,02｜高頻,,,A 基礎優先,,,,,
2058,offer,57,02｜高頻,v.,提供,A 基礎必會,動詞,offered,offered,否,
2059,pulled,57,02｜高頻,,,A 基礎優先,,,,,
2060,resolution,57,02｜高頻,,,A 基礎優先,,,,,
2061,sighed,57,02｜高頻,,,A 基礎優先,,,,,
2062,smooth,57,02｜高頻,,,A 基礎優先,,,,,
2063,somewhere,57,02｜高頻,,,A 基礎優先,,,,,
2064,stupid,57,02｜高頻,,,A 基礎優先,,,,,
2065,sympathy,57,02｜高頻,,,A 基礎優先,,,,,
2066,terror,57,02｜高頻,,,A 基礎優先,,,,,
2067,train,57,02｜高頻,v./n.,訓練,B 中高級核心,動詞；名詞,trained,trained,否,
2068,trouble,57,02｜高頻,n.,麻煩,B 中高級核心,名詞,—,—,—,
2069,trusts,57,02｜高頻,,,A 基礎優先,,,,,
2070,unexpectedly,57,02｜高頻,,,A 基礎優先,,,,,
2071,venous,57,02｜高頻,,,A 基礎優先,,,,,
2072,absent,56,02｜高頻,,,A 基礎優先,,,,,
2073,absolute,56,02｜高頻,adj.,絕對的,A 基礎必會,形容詞,—,—,—,
2074,access,56,02｜高頻,n.,使用權；存取,A 基礎必會,名詞,—,—,—,
2075,acquaintance,56,02｜高頻,,,A 基礎優先,,,,,
2076,artillery,56,02｜高頻,,,A 基礎優先,,,,,
2077,avoided,56,02｜高頻,,,A 基礎優先,,,,,
2078,based,56,02｜高頻,,,A 基礎優先,,,,,
2079,beg,56,02｜高頻,,,A 基礎優先,,,,,
2080,candidate,56,02｜高頻,n.,候選人；求職者,A 基礎必會,名詞,—,—,—,
2081,cart,56,02｜高頻,,,A 基礎優先,,,,,
2082,clever,56,02｜高頻,,,A 基礎優先,,,,,
2083,develop,56,02｜高頻,v.,發展,A 基礎必會,動詞,developed,developed,否,
2084,friendly,56,02｜高頻,adj.,友善的,A 基礎必會,形容詞,—,—,—,
2085,g,56,02｜高頻,,,A 基礎優先,,,,,
2086,grain,56,02｜高頻,,,A 基礎優先,,,,,
2087,guard,56,02｜高頻,,,A 基礎優先,,,,,
2088,handkerchief,56,02｜高頻,,,A 基礎優先,,,,,
2089,hastily,56,02｜高頻,,,A 基礎優先,,,,,
2090,helped,56,02｜高頻,,,A 基礎優先,,,,,
2091,interior,56,02｜高頻,,,A 基礎優先,,,,,
2092,keeping,56,02｜高頻,,,A 基礎優先,,,,,
2093,lip,56,02｜高頻,,,A 基礎優先,,,,,
2094,merry,56,02｜高頻,,,A 基礎優先,,,,,
2095,moments,56,02｜高頻,,,A 基礎優先,,,,,
2096,music,56,02｜高頻,n.,音樂,B 中高級核心,名詞,—,—,—,
2097,partly,56,02｜高頻,,,A 基礎優先,,,,,
2098,performed,56,02｜高頻,,,A 基礎優先,,,,,
2099,pipe,56,02｜高頻,,,A 基礎優先,,,,,
2100,portions,56,02｜高頻,,,A 基礎優先,,,,,
2101,principle,56,02｜高頻,,,A 基礎優先,,,,,
2102,republic,56,02｜高頻,,,A 基礎優先,,,,,
2103,resources,56,02｜高頻,,,A 基礎優先,,,,,
2104,simon,56,02｜高頻,,,A 基礎優先,,,,,
2105,sinus,56,02｜高頻,,,A 基礎優先,,,,,
2106,successful,56,02｜高頻,adj.,成功的,B 中高級核心,形容詞,—,—,—,
2107,tsar,56,02｜高頻,,,A 基礎優先,,,,,
2108,vary,56,02｜高頻,,,A 基礎優先,,,,,
2109,virtue,56,02｜高頻,,,A 基礎優先,,,,,
2110,agriculture,55,02｜高頻,n.,農業,A 基礎必會,名詞,—,—,—,
2111,appeal,55,02｜高頻,,,A 基礎優先,,,,,
2112,article,55,02｜高頻,n.,文章；物品,A 基礎必會,名詞,—,—,—,
2113,aspect,55,02｜高頻,n.,方面,A 基礎必會,名詞,—,—,—,
2114,badly,55,02｜高頻,,,A 基礎優先,,,,,
2115,bought,55,02｜高頻,,,A 基礎優先,,,,,
2116,busy,55,02｜高頻,adj.,忙碌的,A 基礎必會,形容詞,—,—,—,
2117,california,55,02｜高頻,,,A 基礎優先,,,,,
2118,captured,55,02｜高頻,,,A 基礎優先,,,,,
2119,crowded,55,02｜高頻,,,A 基礎優先,,,,,
2120,defined,55,02｜高頻,,,A 基礎優先,,,,,
2121,delegates,55,02｜高頻,,,A 基礎優先,,,,,
2122,draw,55,02｜高頻,v.,畫；拉,A 基礎必會,動詞,drew,drawn,是,
2123,drink,55,02｜高頻,v.,喝,A 基礎必會,動詞,drank,drunk,是,
2124,epithelium,55,02｜高頻,,,A 基礎優先,,,,,
2125,evil,55,02｜高頻,,,A 基礎優先,,,,,
2126,fair,55,02｜高頻,adj.,公平的,A 基礎必會,形容詞,—,—,—,
2127,game,55,02｜高頻,n.,遊戲；比賽,A 基礎必會,名詞,—,—,—,
2128,grafting,55,02｜高頻,,,A 基礎優先,,,,,
2129,habit,55,02｜高頻,n.,習慣,B 中高級核心,名詞,—,—,—,
2130,hero,55,02｜高頻,,,A 基礎優先,,,,,
2131,household,55,02｜高頻,,,A 基礎優先,,,,,
2132,injured,55,02｜高頻,,,A 基礎優先,,,,,
2133,iv,55,02｜高頻,,,A 基礎優先,,,,,
2134,knees,55,02｜高頻,,,A 基礎優先,,,,,
2135,la,55,02｜高頻,,,A 基礎優先,,,,,
2136,le,55,02｜高頻,,,A 基礎優先,,,,,
2137,leaning,55,02｜高頻,,,A 基礎優先,,,,,
2138,memory,55,02｜高頻,n.,記憶,B 中高級核心,名詞,—,—,—,
2139,possession,55,02｜高頻,,,A 基礎優先,,,,,
2140,previously,55,02｜高頻,,,A 基礎優先,,,,,
2141,replaced,55,02｜高頻,,,A 基礎優先,,,,,
2142,ring,55,02｜高頻,,,A 基礎優先,,,,,
2143,solemn,55,02｜高頻,,,A 基礎優先,,,,,
2144,suffer,55,02｜高頻,,,A 基礎優先,,,,,
2145,varies,55,02｜高頻,,,A 基礎優先,,,,,
2146,abroad,54,02｜高頻,adv.,在國外,A 基礎必會,副詞,—,—,—,
2147,ankylosis,54,02｜高頻,,,A 基礎優先,,,,,
2148,armed,54,02｜高頻,,,A 基礎優先,,,,,
2149,authorities,54,02｜高頻,,,A 基礎優先,,,,,
2150,bacterial,54,02｜高頻,,,A 基礎優先,,,,,
2151,band,54,02｜高頻,,,A 基礎優先,,,,,
2152,banks,54,02｜高頻,,,A 基礎優先,,,,,
2153,capable,54,02｜高頻,,,A 基礎優先,,,,,
2154,cast,54,02｜高頻,,,A 基礎優先,,,,,
2155,causing,54,02｜高頻,,,A 基礎優先,,,,,
2156,choose,54,02｜高頻,v.,選擇,A 基礎必會,動詞,chose,chosen,是,
2157,contest,54,02｜高頻,,,A 基礎優先,,,,,
2158,countries,54,02｜高頻,,,A 基礎優先,,,,,
2159,crossing,54,02｜高頻,,,A 基礎優先,,,,,
2160,delicate,54,02｜高頻,,,A 基礎優先,,,,,
2161,diplomatic,54,02｜高頻,,,A 基礎優先,,,,,
2162,dron,54,02｜高頻,,,A 基礎優先,,,,,
2163,eat,54,02｜高頻,v.,吃,A 基礎必會,動詞,ate,eaten,是,
2164,ebooks,54,02｜高頻,,,A 基礎優先,,,,,
2165,enlargement,54,02｜高頻,,,A 基礎優先,,,,,
2166,exercise,54,02｜高頻,n.,運動；練習,A 基礎必會,名詞,—,—,—,
2167,falling,54,02｜高頻,,,A 基礎優先,,,,,
2168,franklin,54,02｜高頻,,,A 基礎優先,,,,,
2169,georgia,54,02｜高頻,,,A 基礎優先,,,,,
2170,highly,54,02｜高頻,adv.,高度地；非常,A 基礎必會,副詞,—,—,—,
2171,imperial,54,02｜高頻,,,A 基礎優先,,,,,
2172,makes,54,02｜高頻,,,A 基礎優先,,,,,
2173,merchants,54,02｜高頻,,,A 基礎優先,,,,,
2174,mon,54,02｜高頻,,,A 基礎優先,,,,,
2175,nervous,54,02｜高頻,,,A 基礎優先,,,,,
2176,opposed,54,02｜高頻,,,A 基礎優先,,,,,
2177,pure,54,02｜高頻,,,A 基礎優先,,,,,
2178,receiving,54,02｜高頻,,,A 基礎優先,,,,,
2179,recent,54,02｜高頻,adj.,最近的,B 中高級核心,形容詞,—,—,—,
2180,recognize,54,02｜高頻,v.,認出；承認,A 基礎必會,動詞,recognized,recognized,否,
2181,religious,54,02｜高頻,,,A 基礎優先,,,,,
2182,reports,54,02｜高頻,,,A 基礎優先,,,,,
2183,ride,54,02｜高頻,v.,騎；搭乘,A 基礎必會,動詞,rode,ridden,是,
2184,sections,54,02｜高頻,,,A 基礎優先,,,,,
2185,standard,54,02｜高頻,n./adj.,標準的,B 中高級核心,名詞；形容詞,—,—,—,
2186,working,54,02｜高頻,,,A 基礎優先,,,,,
2187,attached,53,02｜高頻,,,A 基礎優先,,,,,
2188,austria,53,02｜高頻,,,A 基礎優先,,,,,
2189,awaiting,53,02｜高頻,,,A 基礎優先,,,,,
2190,base,53,02｜高頻,n.,基礎,A 基礎必會,名詞,—,—,—,
2191,building,53,02｜高頻,n.,建築物,A 基礎必會,名詞,—,—,—,
2192,cleared,53,02｜高頻,,,A 基礎優先,,,,,
2193,confidence,53,02｜高頻,n.,信心,A 基礎必會,名詞,—,—,—,
2194,considering,53,02｜高頻,,,A 基礎優先,,,,,
2195,deformity,53,02｜高頻,,,A 基礎優先,,,,,
2196,excuse,53,02｜高頻,,,A 基礎優先,,,,,
2197,executive,53,02｜高頻,,,A 基礎優先,,,,,
2198,faced,53,02｜高頻,,,A 基礎優先,,,,,
2199,federalists,53,02｜高頻,,,A 基礎優先,,,,,
2200,gown,53,02｜高頻,,,A 基礎優先,,,,,
2201,humanity,53,02｜高頻,,,A 基礎優先,,,,,
2202,inflamed,53,02｜高頻,,,A 基礎優先,,,,,
2203,intimate,53,02｜高頻,,,A 基礎優先,,,,,
2204,leader,53,02｜高頻,n.,領導者,B 中高級核心,名詞,—,—,—,
2205,league,53,02｜高頻,,,A 基礎優先,,,,,
2206,level,53,02｜高頻,n.,程度；層級,B 中高級核心,名詞,—,—,—,
2207,murat,53,02｜高頻,,,A 基礎優先,,,,,
2208,nice,53,02｜高頻,adj.,好的；友善的,B 中高級核心,形容詞,—,—,—,
2209,operative,53,02｜高頻,,,A 基礎優先,,,,,
2210,progressive,53,02｜高頻,,,A 基礎優先,,,,,
2211,protective,53,02｜高頻,,,A 基礎優先,,,,,
2212,r,53,02｜高頻,,,A 基礎優先,,,,,
2213,remove,53,02｜高頻,v.,移除,B 中高級核心,動詞,removed,removed,否,
2214,scattered,53,02｜高頻,,,A 基礎優先,,,,,
2215,serum,53,02｜高頻,,,A 基礎優先,,,,,
2216,sick,53,02｜高頻,,,A 基礎優先,,,,,
2217,spreads,53,02｜高頻,,,A 基礎優先,,,,,
2218,sum,53,02｜高頻,,,A 基礎優先,,,,,
2219,test,53,02｜高頻,v./n.,測試,B 中高級核心,動詞；名詞,tested,tested,否,
2220,ulceration,53,02｜高頻,,,A 基礎優先,,,,,
2221,unions,53,02｜高頻,,,A 基礎優先,,,,,
2222,unpleasant,53,02｜高頻,,,A 基礎優先,,,,,
2223,welfare,53,02｜高頻,,,A 基礎優先,,,,,
2224,agitated,52,02｜高頻,,,A 基礎優先,,,,,
2225,alarm,52,02｜高頻,n.,警報；鬧鐘,A 基礎必會,名詞,—,—,—,
2226,aroused,52,02｜高頻,,,A 基礎優先,,,,,
2227,assistance,52,02｜高頻,n.,協助,A 基礎必會,名詞,—,—,—,
2228,aunt,52,02｜高頻,,,A 基礎優先,,,,,
2229,aware,52,02｜高頻,adj.,知道的；有意識的,A 基礎必會,形容詞,—,—,—,
2230,barclay,52,02｜高頻,,,A 基礎優先,,,,,
2231,bonds,52,02｜高頻,,,A 基礎優先,,,,,
2232,branch,52,02｜高頻,n.,樹枝；分店；分支,A 基礎必會,名詞,—,—,—,
2233,cheerful,52,02｜高頻,,,A 基礎優先,,,,,
2234,coachman,52,02｜高頻,,,A 基礎優先,,,,,
2235,connected,52,02｜高頻,,,A 基礎優先,,,,,
2236,consent,52,02｜高頻,,,A 基礎優先,,,,,
2237,depends,52,02｜高頻,,,A 基礎優先,,,,,
2238,dignity,52,02｜高頻,,,A 基礎優先,,,,,
2239,extremity,52,02｜高頻,,,A 基礎優先,,,,,
2240,fit,52,02｜高頻,v.,適合；安裝,A 基礎必會,動詞,fit/fitted,fit/fitted,是,
2241,fool,52,02｜高頻,,,A 基礎優先,,,,,
2242,fought,52,02｜高頻,,,A 基礎優先,,,,,
2243,gland,52,02｜高頻,,,A 基礎優先,,,,,
2244,hollow,52,02｜高頻,,,A 基礎優先,,,,,
2245,holy,52,02｜高頻,,,A 基礎優先,,,,,
2246,hyperaemia,52,02｜高頻,,,A 基礎優先,,,,,
2247,informed,52,02｜高頻,,,A 基礎優先,,,,,
2248,isn,52,02｜高頻,,,A 基礎優先,,,,,
2249,legal,52,02｜高頻,adj.,合法的,B 中高級核心,形容詞,—,—,—,
2250,ligation,52,02｜高頻,,,A 基礎優先,,,,,
2251,market,52,02｜高頻,n.,市場,B 中高級核心,名詞,—,—,—,
2252,occupation,52,02｜高頻,,,A 基礎優先,,,,,
2253,permission,52,02｜高頻,,,A 基礎優先,,,,,
2254,peter,52,02｜高頻,,,A 基礎優先,,,,,
2255,platform,52,02｜高頻,,,A 基礎優先,,,,,
2256,provisions,52,02｜高頻,,,A 基礎優先,,,,,
2257,raise,52,02｜高頻,v.,提高；養育,B 中高級核心,動詞,raised,raised,否,
2258,recalled,52,02｜高頻,,,A 基礎優先,,,,,
2259,reported,52,02｜高頻,,,A 基礎優先,,,,,
2260,resembling,52,02｜高頻,,,A 基礎優先,,,,,
2261,revolutionary,52,02｜高頻,,,A 基礎優先,,,,,
2262,secretary,52,02｜高頻,,,A 基礎優先,,,,,
2263,shouts,52,02｜高頻,,,A 基礎優先,,,,,
2264,station,52,02｜高頻,n.,車站,B 中高級核心,名詞,—,—,—,
2265,stretched,52,02｜高頻,,,A 基礎優先,,,,,
2266,tend,52,02｜高頻,,,A 基礎優先,,,,,
2267,transferred,52,02｜高頻,,,A 基礎優先,,,,,
2268,ways,52,02｜高頻,,,A 基礎優先,,,,,
2269,weary,52,02｜高頻,,,A 基礎優先,,,,,
2270,winter,52,02｜高頻,n.,冬天,B 中高級核心,名詞,—,—,—,
2271,alliance,51,02｜高頻,,,A 基礎優先,,,,,
2272,austerlitz,51,02｜高頻,,,A 基礎優先,,,,,
2273,committed,51,02｜高頻,,,A 基礎優先,,,,,
2274,connecticut,51,02｜高頻,,,A 基礎優先,,,,,
2275,describe,51,02｜高頻,v.,描述,A 基礎必會,動詞,described,described,否,
2276,desired,51,02｜高頻,,,A 基礎優先,,,,,
2277,developed,51,02｜高頻,,,A 基礎優先,,,,,
2278,distant,51,02｜高頻,,,A 基礎優先,,,,,
2279,extensive,51,02｜高頻,,,A 基礎優先,,,,,
2280,extremely,51,02｜高頻,,,A 基礎優先,,,,,
2281,frequent,51,02｜高頻,adj.,頻繁的,A 基礎必會,形容詞,—,—,—,
2282,henry,51,02｜高頻,,,A 基礎優先,,,,,
2283,hippolyte,51,02｜高頻,,,A 基礎優先,,,,,
2284,inevitability,51,02｜高頻,,,A 基礎優先,,,,,
2285,inherited,51,02｜高頻,,,A 基礎優先,,,,,
2286,layer,51,02｜高頻,,,A 基礎優先,,,,,
2287,lose,51,02｜高頻,v.,失去；輸,A 基礎必會,動詞,lost,lost,是,
2288,mood,51,02｜高頻,,,A 基礎優先,,,,,
2289,moral,51,02｜高頻,,,A 基礎優先,,,,,
2290,necrosis,51,02｜高頻,,,A 基礎優先,,,,,
2291,occasion,51,02｜高頻,n.,場合；時機,B 中高級核心,名詞,—,—,—,
2292,october,51,02｜高頻,,,A 基礎優先,,,,,
2293,overlying,51,02｜高頻,,,A 基礎優先,,,,,
2294,pistol,51,02｜高頻,,,A 基礎優先,,,,,
2295,pocket,51,02｜高頻,,,A 基礎優先,,,,,
2296,radium,51,02｜高頻,,,A 基礎優先,,,,,
2297,recovery,51,02｜高頻,,,A 基礎優先,,,,,
2298,remark,51,02｜高頻,,,A 基礎優先,,,,,
2299,saved,51,02｜高頻,,,A 基礎優先,,,,,
2300,seated,51,02｜高頻,,,A 基礎優先,,,,,
2301,separation,51,02｜高頻,,,A 基礎優先,,,,,
2302,sixth,51,02｜高頻,,,A 基礎優先,,,,,
2303,smaller,51,02｜高頻,,,A 基礎優先,,,,,
2304,sugar,51,02｜高頻,,,A 基礎優先,,,,,
2305,th,51,02｜高頻,,,A 基礎優先,,,,,
2306,thumb,51,02｜高頻,,,A 基礎優先,,,,,
2307,toes,51,02｜高頻,,,A 基礎優先,,,,,
2308,toxins,51,02｜高頻,,,A 基礎優先,,,,,
2309,trees,51,02｜高頻,,,A 基礎優先,,,,,
2310,urged,51,02｜高頻,,,A 基礎優先,,,,,
2311,v,51,02｜高頻,,,A 基礎優先,,,,,
2312,vienna,51,02｜高頻,,,A 基礎優先,,,,,
2313,waited,51,02｜高頻,,,A 基礎優先,,,,,
2314,watch,51,02｜高頻,v.,觀看,A 基礎必會,動詞,watched,watched,否,
2315,whisper,51,02｜高頻,,,A 基礎優先,,,,,
2316,ancient,50,02｜高頻,adj.,古代的,A 基礎必會,形容詞,—,—,—,
2317,assistant,50,02｜高頻,n.,助理,A 基礎必會,名詞,—,—,—,
2318,attain,50,02｜高頻,,,A 基礎優先,,,,,
2319,balls,50,02｜高頻,,,A 基礎優先,,,,,
2320,brothers,50,02｜高頻,,,A 基礎優先,,,,,
2321,buy,50,02｜高頻,v.,購買,A 基礎必會,動詞,bought,bought,是,
2322,centre,50,02｜高頻,,,A 基礎優先,,,,,
2323,contents,50,02｜高頻,,,A 基礎優先,,,,,
2324,continue,50,02｜高頻,v.,繼續,A 基礎必會,動詞,continued,continued,否,
2325,contrast,50,02｜高頻,,,A 基礎優先,,,,,
2326,corps,50,02｜高頻,,,A 基礎優先,,,,,
2327,currency,50,02｜高頻,,,A 基礎優先,,,,,
2328,declaration,50,02｜高頻,,,A 基礎優先,,,,,
2329,eager,50,02｜高頻,,,A 基礎優先,,,,,
2330,eastern,50,02｜高頻,,,A 基礎優先,,,,,
2331,elastic,50,02｜高頻,,,A 基礎優先,,,,,
2332,fancy,50,02｜高頻,,,A 基礎優先,,,,,
2333,farm,50,02｜高頻,n.,農場,A 基礎必會,名詞,—,—,—,
2334,fault,50,02｜高頻,n.,錯誤；責任,A 基礎必會,名詞,—,—,—,
2335,figures,50,02｜高頻,,,A 基礎優先,,,,,
2336,frenchmen,50,02｜高頻,,,A 基礎優先,,,,,
2337,imagination,50,02｜高頻,,,A 基礎優先,,,,,
2338,instance,50,02｜高頻,,,A 基礎優先,,,,,
2339,irregular,50,02｜高頻,,,A 基礎優先,,,,,
2340,jumped,50,02｜高頻,,,A 基礎優先,,,,,
2341,member,50,02｜高頻,n.,成員,B 中高級核心,名詞,—,—,—,
2342,midst,50,02｜高頻,,,A 基礎優先,,,,,
2343,mild,50,02｜高頻,,,A 基礎優先,,,,,
2344,nearest,50,02｜高頻,,,A 基礎優先,,,,,
2345,numerous,50,02｜高頻,,,A 基礎優先,,,,,
2346,papa,50,02｜高頻,,,A 基礎優先,,,,,
2347,preparing,50,02｜高頻,,,A 基礎優先,,,,,
2348,print,50,02｜高頻,,,A 基礎優先,,,,,
2349,purchase,50,02｜高頻,,,A 基礎優先,,,,,
2350,purposes,50,02｜高頻,,,A 基礎優先,,,,,
2351,realized,50,02｜高頻,,,A 基礎優先,,,,,
2352,shaking,50,02｜高頻,,,A 基礎優先,,,,,
2353,shaped,50,02｜高頻,,,A 基礎優先,,,,,
2354,shirt,50,02｜高頻,,,A 基礎優先,,,,,
2355,shows,50,02｜高頻,,,A 基礎優先,,,,,
2356,silk,50,02｜高頻,,,A 基礎優先,,,,,
2357,smell,50,02｜高頻,,,A 基礎優先,,,,,
2358,starting,50,02｜高頻,,,A 基礎優先,,,,,
2359,traumatic,50,02｜高頻,,,A 基礎優先,,,,,
2360,trunks,50,02｜高頻,,,A 基礎優先,,,,,
2361,wages,50,02｜高頻,,,A 基礎優先,,,,,
2362,windows,50,02｜高頻,,,A 基礎優先,,,,,
2363,agents,49,02｜高頻,,,A 基礎優先,,,,,
2364,armchair,49,02｜高頻,,,A 基礎優先,,,,,
2365,assembled,49,02｜高頻,,,A 基礎優先,,,,,
2366,baker,49,02｜高頻,,,A 基礎優先,,,,,
2367,ballot,49,02｜高頻,,,A 基礎優先,,,,,
2368,bandage,49,02｜高頻,,,A 基礎優先,,,,,
2369,columns,49,02｜高頻,,,A 基礎優先,,,,,
2370,compared,49,02｜高頻,,,A 基礎優先,,,,,
2371,double,49,02｜高頻,,,A 基礎優先,,,,,
2372,epidermis,49,02｜高頻,,,A 基礎優先,,,,,
2373,examined,49,02｜高頻,,,A 基礎優先,,,,,
2374,exposure,49,02｜高頻,,,A 基礎優先,,,,,
2375,fashion,49,02｜高頻,,,A 基礎優先,,,,,
2376,finish,49,02｜高頻,v.,完成,A 基礎必會,動詞,finished,finished,否,
2377,flew,49,02｜高頻,,,A 基礎優先,,,,,
2378,frowning,49,02｜高頻,,,A 基礎優先,,,,,
2379,glory,49,02｜高頻,,,A 基礎優先,,,,,
2380,grave,49,02｜高頻,,,A 基礎優先,,,,,
2381,growths,49,02｜高頻,,,A 基礎優先,,,,,
2382,hart,49,02｜高頻,,,A 基礎優先,,,,,
2383,highness,49,02｜高頻,,,A 基礎優先,,,,,
2384,interfere,49,02｜高頻,,,A 基礎優先,,,,,
2385,joyful,49,02｜高頻,,,A 基礎優先,,,,,
2386,junction,49,02｜高頻,,,A 基礎優先,,,,,
2387,modern,49,02｜高頻,adj.,現代的,B 中高級核心,形容詞,—,—,—,
2388,profound,49,02｜高頻,,,A 基礎優先,,,,,
2389,pulse,49,02｜高頻,,,A 基礎優先,,,,,
2390,scene,49,02｜高頻,,,A 基礎優先,,,,,
2391,selected,49,02｜高頻,,,A 基礎優先,,,,,
2392,septic,49,02｜高頻,,,A 基礎優先,,,,,
2393,singing,49,02｜高頻,,,A 基礎優先,,,,,
2394,sold,49,02｜高頻,,,A 基礎優先,,,,,
2395,stronger,49,02｜高頻,,,A 基礎優先,,,,,
2396,substance,49,02｜高頻,,,A 基礎優先,,,,,
2397,task,49,02｜高頻,n.,任務,B 中高級核心,名詞,—,—,—,
2398,tennessee,49,02｜高頻,,,A 基礎優先,,,,,
2399,trembling,49,02｜高頻,,,A 基礎優先,,,,,
2400,vicinity,49,02｜高頻,,,A 基礎優先,,,,,
2401,violence,49,02｜高頻,,,A 基礎優先,,,,,
2402,wind,49,02｜高頻,n.,風,B 中高級核心,名詞,—,—,—,
2403,aide,48,02｜高頻,,,A 基礎優先,,,,,
2404,arose,48,02｜高頻,,,A 基礎優先,,,,,
2405,blushed,48,02｜高頻,,,A 基礎優先,,,,,
2406,bogucharovo,48,02｜高頻,,,A 基礎優先,,,,,
2407,bringing,48,02｜高頻,,,A 基礎優先,,,,,
2408,compelled,48,02｜高頻,,,A 基礎優先,,,,,
2409,constantly,48,02｜高頻,,,A 基礎優先,,,,,
2410,conviction,48,02｜高頻,,,A 基礎優先,,,,,
2411,date,48,02｜高頻,n.,日期；約會,A 基礎必會,名詞,—,—,—,
2412,difficulties,48,02｜高頻,,,A 基礎優先,,,,,
2413,dispute,48,02｜高頻,,,A 基礎優先,,,,,
2414,dr,48,02｜高頻,,,A 基礎優先,,,,,
2415,driving,48,02｜高頻,,,A 基礎優先,,,,,
2416,engagement,48,02｜高頻,,,A 基礎優先,,,,,
2417,flight,48,02｜高頻,,,A 基礎優先,,,,,
2418,flow,48,02｜高頻,n.,流動,A 基礎必會,名詞,—,—,—,
2419,footman,48,02｜高頻,,,A 基礎優先,,,,,
2420,forearm,48,02｜高頻,,,A 基礎優先,,,,,
