單字,詞性,中文意思,優先度,類型,過去式,過去分詞 p.p.,不規則,筆記
dream,v./n.,做夢；夢想,A 基礎必會,動詞；名詞,dreamed/dreamt,dreamed/dreamt,是,
drink,v.,喝,A 基礎必會,動詞,drank,drunk,是,
drive,v.,駕駛,A 基礎必會,動詞,drove,driven,是,
driver,n.,駕駛,A 基礎必會,名詞,—,—,—,
drug,n.,藥物；毒品,A 基礎必會,名詞,—,—,—,
dry,adj.,乾的,A 基礎必會,形容詞,—,—,—,
during,功能字,在…期間,A 基礎必會,文法／連接／介系詞,—,—,—,
duty,n.,責任,A 基礎必會,名詞,—,—,—,
each,功能字,每一個,A 基礎必會,文法／連接／介系詞,—,—,—,
ear,n.,耳朵,A 基礎必會,名詞,—,—,—,
early,adv.,提早,A 基礎必會,副詞,—,—,—,
earn,v.,賺得,B 中高級核心,動詞,earned,earned,否,
earth,n.,地球,A 基礎必會,名詞,—,—,—,
easy,adj.,容易的,A 基礎必會,形容詞,—,—,—,
eat,v.,吃,A 基礎必會,動詞,ate,eaten,是,
economic,adj.,經濟的,A 基礎必會,形容詞,—,—,—,
economy,n.,經濟,A 基礎必會,名詞,—,—,—,
edge,n.,邊緣,A 基礎必會,名詞,—,—,—,
education,n.,教育,A 基礎必會,名詞,—,—,—,
effect,n.,效果；影響,A 基礎必會,名詞,—,—,—,
effective,adj.,有效的,A 基礎必會,形容詞,—,—,—,
efficient,adj.,有效率的,A 基礎必會,形容詞,—,—,—,
effort,n.,努力,A 基礎必會,名詞,—,—,—,
egg,n.,蛋,A 基礎必會,名詞,—,—,—,
either,功能字,兩者之一,A 基礎必會,文法／連接／介系詞,—,—,—,
elect,v.,選出,B 中高級核心,動詞,elected,elected,否,
electric,adj.,電的,A 基礎必會,形容詞,—,—,—,
electricity,n.,電力,A 基礎必會,名詞,—,—,—,
electronic,adj.,電子的,A 基礎必會,形容詞,—,—,—,
element,n.,元素；要素,A 基礎必會,名詞,—,—,—,
email,n.,電子郵件,A 基礎必會,名詞,—,—,—,
emergency,n.,緊急事件,A 基礎必會,名詞,—,—,—,
emotion,n.,情緒,A 基礎必會,名詞,—,—,—,
employ,v.,僱用,B 中高級核心,動詞,employed,employed,否,
employee,n.,員工,A 基礎必會,名詞,—,—,—,
employer,n.,雇主,A 基礎必會,名詞,—,—,—,
employment,n.,就業,A 基礎必會,名詞,—,—,—,
empty,adj.,空的,A 基礎必會,形容詞,—,—,—,
encourage,v.,鼓勵,A 基礎必會,動詞,encouraged,encouraged,否,
energy,n.,能量,A 基礎必會,名詞,—,—,—,
engine,n.,引擎,A 基礎必會,名詞,—,—,—,
engineer,n.,工程師,A 基礎必會,名詞,—,—,—,
enjoy,v.,享受；喜歡,A 基礎必會,動詞,enjoyed,enjoyed,否,
enter,v.,進入,B 中高級核心,動詞,entered,entered,否,
environment,n.,環境,A 基礎必會,名詞,—,—,—,
environmental,adj.,環境的,A 基礎必會,形容詞,—,—,—,
equal,adj.,相等的,A 基礎必會,形容詞,—,—,—,
equipment,n.,設備,A 基礎必會,名詞,—,—,—,
error,n.,錯誤,A 基礎必會,名詞,—,—,—,
especially,adv.,尤其,A 基礎必會,副詞,—,—,—,
essential,adj.,必要的,A 基礎必會,形容詞,—,—,—,
establish,v.,建立,B 中高級核心,動詞,established,established,否,
estimate,v.,估計,B 中高級核心,動詞,estimated,estimated,否,
event,n.,事件,A 基礎必會,名詞,—,—,—,
eventually,adv.,最後；終於,A 基礎必會,副詞,—,—,—,
ever,adv.,曾經,A 基礎必會,副詞,—,—,—,
every,功能字,每一個,A 基礎必會,文法／連接／介系詞,—,—,—,
evidence,n.,證據,A 基礎必會,名詞,—,—,—,
exactly,adv.,正確地；完全,A 基礎必會,副詞,—,—,—,
exam,n.,考試,A 基礎必會,名詞,—,—,—,
examine,v.,檢查,B 中高級核心,動詞,examined,examined,否,
example,n.,例子,A 基礎必會,名詞,—,—,—,
excellent,adj.,優秀的,A 基礎必會,形容詞,—,—,—,
exchange,v./n.,交換；匯兌,B 中高級核心,動詞；名詞,exchanged,exchanged,否,
excited,adj.,感到興奮的,A 基礎必會,形容詞,—,—,—,
exciting,adj.,令人興奮的,A 基礎必會,形容詞,—,—,—,
exercise,n.,運動；練習,A 基礎必會,名詞,—,—,—,
exist,v.,存在,B 中高級核心,動詞,existed,existed,否,
expand,v.,擴大,B 中高級核心,動詞,expanded,expanded,否,
expect,v.,預期,A 基礎必會,動詞,expected,expected,否,
expense,n.,費用,A 基礎必會,名詞,—,—,—,
expensive,adj.,昂貴的,A 基礎必會,形容詞,—,—,—,
experience,n.,經驗,A 基礎必會,名詞,—,—,—,
experiment,n.,實驗,A 基礎必會,名詞,—,—,—,
expert,n.,專家,A 基礎必會,名詞,—,—,—,
explain,v.,解釋,A 基礎必會,動詞,explained,explained,否,
explanation,n.,解釋,A 基礎必會,名詞,—,—,—,
explore,v.,探索,B 中高級核心,動詞,explored,explored,否,
express,v.,表達,B 中高級核心,動詞,expressed,expressed,否,
expression,n.,表達；表情,A 基礎必會,名詞,—,—,—,
eye,n.,眼睛,A 基礎必會,名詞,—,—,—,
face,n.,臉,A 基礎必會,名詞,—,—,—,
fact,n.,事實,A 基礎必會,名詞,—,—,—,
factor,n.,因素,A 基礎必會,名詞,—,—,—,
fail,v.,失敗,B 中高級核心,動詞,failed,failed,否,
failure,n.,失敗,A 基礎必會,名詞,—,—,—,
fair,adj.,公平的,A 基礎必會,形容詞,—,—,—,
fall,v.,掉落；跌倒,A 基礎必會,動詞,fell,fallen,是,
false,adj.,錯誤的；假的,A 基礎必會,形容詞,—,—,—,
familiar,adj.,熟悉的,A 基礎必會,形容詞,—,—,—,
family,n.,家庭,A 基礎必會,名詞,—,—,—,
famous,adj.,有名的,A 基礎必會,形容詞,—,—,—,
far,adv.,遠地,A 基礎必會,副詞,—,—,—,
farm,n.,農場,A 基礎必會,名詞,—,—,—,
farmer,n.,農夫,A 基礎必會,名詞,—,—,—,
fast,adj./adv.,快速地,A 基礎必會,形容詞；副詞,—,—,—,
fat,adj.,胖的,A 基礎必會,形容詞,—,—,—,
fault,n.,錯誤；責任,A 基礎必會,名詞,—,—,—,
favorite,adj.,最喜歡的,A 基礎必會,形容詞,—,—,—,
fear,n.,恐懼,A 基礎必會,名詞,—,—,—,
feature,n.,特徵；功能,A 基礎必會,名詞,—,—,—,
feed,v.,餵食,A 基礎必會,動詞,fed,fed,是,
feel,v.,感覺,A 基礎必會,動詞,felt,felt,是,
feeling,n.,感覺；情緒,A 基礎必會,名詞,—,—,—,
female,adj.,女性的,A 基礎必會,形容詞,—,—,—,
few,功能字,少數,A 基礎必會,文法／連接／介系詞,—,—,—,
field,n.,田野；領域；場地,A 基礎必會,名詞,—,—,—,
fight,v.,打鬥；奮鬥,A 基礎必會,動詞,fought,fought,是,
figure,n.,數字；人物,A 基礎必會,名詞,—,—,—,
file,n.,檔案,A 基礎必會,名詞,—,—,—,
fill,v.,填滿,A 基礎必會,動詞,filled,filled,否,
film,n.,電影,A 基礎必會,名詞,—,—,—,
final,adj.,最後的,A 基礎必會,形容詞,—,—,—,
finally,adv.,最後；終於,A 基礎必會,副詞,—,—,—,
finance,n.,財務,A 基礎必會,名詞,—,—,—,
financial,adj.,財務的,A 基礎必會,形容詞,—,—,—,
find,v.,找到；發現,A 基礎必會,動詞,found,found,是,
fine,adj.,好的；細的,A 基礎必會,形容詞,—,—,—,
finger,n.,手指,A 基礎必會,名詞,—,—,—,
finish,v.,完成,A 基礎必會,動詞,finished,finished,否,
fire,n.,火,A 基礎必會,名詞,—,—,—,
firm,adj.,堅固的,A 基礎必會,形容詞,—,—,—,
fit,v.,適合；安裝,A 基礎必會,動詞,fit/fitted,fit/fitted,是,
flat,adj.,平的,A 基礎必會,形容詞,—,—,—,
floor,n.,地板；樓層,A 基礎必會,名詞,—,—,—,
flow,n.,流動,A 基礎必會,名詞,—,—,—,
flower,n.,花,A 基礎必會,名詞,—,—,—,
fly,v.,飛,A 基礎必會,動詞,flew,flown,是,
focus,v./n.,專注,B 中高級核心,動詞；名詞,focused,focused,否,
follow,v.,跟隨；遵循,A 基礎必會,動詞,followed,followed,否,
food,n.,食物,A 基礎必會,名詞,—,—,—,
foot,n.,腳；英尺,A 基礎必會,名詞,—,—,—,
for,功能字,為了；給；持續,A 基礎必會,文法／連接／介系詞,—,—,—,
force,v./n.,迫使,B 中高級核心,動詞；名詞,forced,forced,否,
foreign,adj.,外國的,A 基礎必會,形容詞,—,—,—,
forest,n.,森林,A 基礎必會,名詞,—,—,—,
forget,v.,忘記,A 基礎必會,動詞,forgot,forgotten,是,
forgive,v.,原諒,A 基礎必會,動詞,forgave,forgiven,是,
form,v./n.,形式；表格,B 中高級核心,動詞；名詞,formed,formed,否,
formal,adj.,正式的,A 基礎必會,形容詞,—,—,—,
forward,adv.,向前,A 基礎必會,副詞,—,—,—,
free,adj.,自由的；免費的,A 基礎必會,形容詞,—,—,—,
freedom,n.,自由,A 基礎必會,名詞,—,—,—,
freeze,v.,結冰；冷凍,A 基礎必會,動詞,froze,frozen,是,
frequent,adj.,頻繁的,A 基礎必會,形容詞,—,—,—,
frequently,adv.,頻繁地,A 基礎必會,副詞,—,—,—,
fresh,adj.,新鮮的,A 基礎必會,形容詞,—,—,—,
friend,n.,朋友,A 基礎必會,名詞,—,—,—,
friendly,adj.,友善的,A 基礎必會,形容詞,—,—,—,
from,功能字,從；來自,A 基礎必會,文法／連接／介系詞,—,—,—,
front,n.,前面,A 基礎必會,名詞,—,—,—,
fruit,n.,水果,A 基礎必會,名詞,—,—,—,
full,adj.,滿的；完整的,A 基礎必會,形容詞,—,—,—,
function,n.,功能,A 基礎必會,名詞,—,—,—,
fund,n.,基金,A 基礎必會,名詞,—,—,—,
future,n.,未來,A 基礎必會,名詞,—,—,—,
gain,v.,獲得；增加,A 基礎必會,動詞,gained,gained,否,
game,n.,遊戲；比賽,A 基礎必會,名詞,—,—,—,
garden,n.,花園,A 基礎必會,名詞,—,—,—,
gas,n.,氣體；汽油,A 基礎必會,名詞,—,—,—,
general,adj.,一般的,A 基礎必會,形容詞,—,—,—,
generally,adv.,通常；大致上,A 基礎必會,副詞,—,—,—,
generation,n.,世代,B 中高級核心,名詞,—,—,—,
get,v.,得到；變得,A 基礎必會,動詞,got,got/gotten,是,
give,v.,給予,A 基礎必會,動詞,gave,given,是,
global,adj.,全球的,A 基礎必會,形容詞,—,—,—,
go,v.,去,A 基礎必會,動詞,went,gone,是,
goal,n.,目標,B 中高級核心,名詞,—,—,—,
gold,n.,黃金,B 中高級核心,名詞,—,—,—,
good,adj.,好的,A 基礎必會,形容詞,—,—,—,
government,n.,政府,B 中高級核心,名詞,—,—,—,
grade,n.,年級；成績,B 中高級核心,名詞,—,—,—,
gradual,adj.,逐漸的,A 基礎必會,形容詞,—,—,—,
gradually,adv.,逐漸地,A 基礎必會,副詞,—,—,—,
graduate,n.,畢業生,B 中高級核心,名詞,—,—,—,
grammar,n.,文法,B 中高級核心,名詞,—,—,—,
grandparent,n.,祖父母,B 中高級核心,名詞,—,—,—,
grant,n.,補助金,B 中高級核心,名詞,—,—,—,
grass,n.,草,B 中高級核心,名詞,—,—,—,
great,adj.,很棒的；巨大的,B 中高級核心,形容詞,—,—,—,
green,adj.,綠色的,B 中高級核心,形容詞,—,—,—,
ground,n.,地面；理由,B 中高級核心,名詞,—,—,—,
group,n.,群體,B 中高級核心,名詞,—,—,—,
grow,v.,成長；種植,A 基礎必會,動詞,grew,grown,是,
growth,n.,成長；增長,B 中高級核心,名詞,—,—,—,
guide,n.,指南；導遊,B 中高級核心,名詞,—,—,—,
habit,n.,習慣,B 中高級核心,名詞,—,—,—,
hair,n.,頭髮,B 中高級核心,名詞,—,—,—,
half,n.,一半,B 中高級核心,名詞,—,—,—,
hand,n.,手,B 中高級核心,名詞,—,—,—,
handle,v./n.,處理,B 中高級核心,動詞；名詞,handled,handled,否,
happen,v.,發生,A 基礎必會,動詞,happened,happened,否,
happy,adj.,快樂的,B 中高級核心,形容詞,—,—,—,
hard,adj./adv.,困難的；硬的,B 中高級核心,形容詞；副詞,—,—,—,
hardly,adv.,幾乎不,A 基礎必會,副詞,—,—,—,
hat,n.,帽子,B 中高級核心,名詞,—,—,—,
have,v.,有,A 基礎必會,動詞,had,had,是,
he,功能字,他,A 基礎必會,文法／連接／介系詞,—,—,—,
health,n.,健康,B 中高級核心,名詞,—,—,—,
healthy,adj.,健康的,B 中高級核心,形容詞,—,—,—,
hear,v.,聽見,A 基礎必會,動詞,heard,heard,是,
heart,n.,心臟；內心,B 中高級核心,名詞,—,—,—,
heat,n.,熱,B 中高級核心,名詞,—,—,—,
heavy,adj.,重的,B 中高級核心,形容詞,—,—,—,
height,n.,高度,B 中高級核心,名詞,—,—,—,
help,v.,幫助,A 基礎必會,動詞,helped,helped,否,
helpful,adj.,有幫助的,B 中高級核心,形容詞,—,—,—,
her,功能字,她,A 基礎必會,文法／連接／介系詞,—,—,—,
here,功能字/adv.,這裡,A 基礎必會,文法／連接／介系詞；副詞,—,—,—,
hide,v.,躲藏；隱藏,A 基礎必會,動詞,hid,hidden,是,
high,adj.,高的,B 中高級核心,形容詞,—,—,—,
highly,adv.,高度地；非常,A 基礎必會,副詞,—,—,—,
him,功能字,他,A 基礎必會,文法／連接／介系詞,—,—,—,
his,功能字,他的,A 基礎必會,文法／連接／介系詞,—,—,—,
history,n.,歷史,B 中高級核心,名詞,—,—,—,
hit,v.,擊打,A 基礎必會,動詞,hit,hit,是,
hold,v.,拿著；舉行,A 基礎必會,動詞,held,held,是,
holiday,n.,假日,B 中高級核心,名詞,—,—,—,
home,n.,家,B 中高級核心,名詞,—,—,—,
honest,adj.,誠實的,B 中高級核心,形容詞,—,—,—,
hope,v./n.,希望,A 基礎必會,動詞；名詞,hoped,hoped,否,
hospital,n.,醫院,B 中高級核心,名詞,—,—,—,
host,n.,主人；主持人,B 中高級核心,名詞,—,—,—,
hot,adj.,熱的；熱門的,B 中高級核心,形容詞,—,—,—,
hotel,n.,旅館,B 中高級核心,名詞,—,—,—,
hour,n.,小時,B 中高級核心,名詞,—,—,—,
house,n.,房子,B 中高級核心,名詞,—,—,—,
how,功能字,如何；多麼,A 基礎必會,文法／連接／介系詞,—,—,—,
however,adv.,然而,A 基礎必會,副詞,—,—,—,
huge,adj.,巨大的,B 中高級核心,形容詞,—,—,—,
human,adj.,人類的,B 中高級核心,形容詞,—,—,—,
husband,n.,丈夫,B 中高級核心,名詞,—,—,—,
I,功能字,我,A 基礎必會,文法／連接／介系詞,—,—,—,
idea,n.,想法,B 中高級核心,名詞,—,—,—,
identify,v.,辨認,B 中高級核心,動詞,identified,identified,否,
if,功能字,如果；是否,A 基礎必會,文法／連接／介系詞,—,—,—,
ignore,v.,忽視,B 中高級核心,動詞,ignored,ignored,否,
ill,adj.,生病的,B 中高級核心,形容詞,—,—,—,
image,n.,影像；形象,B 中高級核心,名詞,—,—,—,
imagine,v.,想像,B 中高級核心,動詞,imagined,imagined,否,
immediate,adj.,立即的,B 中高級核心,形容詞,—,—,—,
immediately,adv.,立即地,A 基礎必會,副詞,—,—,—,
impact,n.,影響；衝擊,B 中高級核心,名詞,—,—,—,
important,adj.,重要的,B 中高級核心,形容詞,—,—,—,
impossible,adj.,不可能的,B 中高級核心,形容詞,—,—,—,
improve,v.,改善,A 基礎必會,動詞,improved,improved,否,
in,功能字,在…裡,A 基礎必會,文法／連接／介系詞,—,—,—,
include,v.,包含,A 基礎必會,動詞,included,included,否,
income,n.,收入,B 中高級核心,名詞,—,—,—,
increase,v.,增加,A 基礎必會,動詞,increased,increased,否,
increasingly,adv.,日益地,A 基礎必會,副詞,—,—,—,
independent,adj.,獨立的,B 中高級核心,形容詞,—,—,—,
indicate,v.,指出；顯示,B 中高級核心,動詞,indicated,indicated,否,
individual,adj.,個別的,B 中高級核心,形容詞,—,—,—,
industry,n.,產業,B 中高級核心,名詞,—,—,—,
influence,v./n.,影響,A 基礎必會,動詞；名詞,influenced,influenced,否,
information,n.,資訊,B 中高級核心,名詞,—,—,—,
inside,adv.,在裡面,A 基礎必會,副詞,—,—,—,
instead,adv.,反而；代替,A 基礎必會,副詞,—,—,—,
instruction,n.,指示；教學,B 中高級核心,名詞,—,—,—,
instrument,n.,儀器；樂器,B 中高級核心,名詞,—,—,—,
insurance,n.,保險,B 中高級核心,名詞,—,—,—,
intend,v.,打算,B 中高級核心,動詞,intended,intended,否,
interest,n.,興趣；利息,B 中高級核心,名詞,—,—,—,
interested,adj.,感興趣的,B 中高級核心,形容詞,—,—,—,
interesting,adj.,有趣的,B 中高級核心,形容詞,—,—,—,
international,adj.,國際的,B 中高級核心,形容詞,—,—,—,
internet,n.,網際網路,B 中高級核心,名詞,—,—,—,
interview,n.,面試；訪談,B 中高級核心,名詞,—,—,—,
into,功能字,進入；變成,A 基礎必會,文法／連接／介系詞,—,—,—,
introduce,v.,介紹；引進,A 基礎必會,動詞,introduced,introduced,否,
invest,v.,投資,B 中高級核心,動詞,invested,invested,否,
investment,n.,投資,B 中高級核心,名詞,—,—,—,
invite,v.,邀請,A 基礎必會,動詞,invited,invited,否,
involve,v.,涉及,B 中高級核心,動詞,involved,involved,否,
island,n.,島嶼,B 中高級核心,名詞,—,—,—,
issue,n.,議題；問題,B 中高級核心,名詞,—,—,—,
it,功能字,它,A 基礎必會,文法／連接／介系詞,—,—,—,
item,n.,項目；物品,B 中高級核心,名詞,—,—,—,
job,n.,工作,B 中高級核心,名詞,—,—,—,
join,v.,加入,A 基礎必會,動詞,joined,joined,否,
journey,n.,旅程,B 中高級核心,名詞,—,—,—,
judge,n.,法官,B 中高級核心,名詞,—,—,—,
keep,v.,保持,A 基礎必會,動詞,kept,kept,是,
key,n.,鑰匙；關鍵,B 中高級核心,名詞,—,—,—,
kid,n.,小孩,B 中高級核心,名詞,—,—,—,
kind,n.,種類,B 中高級核心,名詞,—,—,—,
kitchen,n.,廚房,B 中高級核心,名詞,—,—,—,
know,v.,知道；認識,A 基礎必會,動詞,knew,known,是,
knowledge,n.,知識,B 中高級核心,名詞,—,—,—,
lack,n.,缺乏,B 中高級核心,名詞,—,—,—,
language,n.,語言,B 中高級核心,名詞,—,—,—,
later,adv.,之後,B 中高級核心,副詞,—,—,—,
law,n.,法律,B 中高級核心,名詞,—,—,—,
lawyer,n.,律師,B 中高級核心,名詞,—,—,—,
lead,v.,領導；導致,A 基礎必會,動詞,led,led,是,
leader,n.,領導者,B 中高級核心,名詞,—,—,—,
learn,v.,學習,A 基礎必會,動詞,learned/learnt,learned/learnt,是,
leave,v.,離開；留下,A 基礎必會,動詞,left,left,是,
legal,adj.,合法的,B 中高級核心,形容詞,—,—,—,
lend,v.,借出,A 基礎必會,動詞,lent,lent,是,
lesson,n.,課,B 中高級核心,名詞,—,—,—,
let,v.,讓,A 基礎必會,動詞,let,let,是,
letter,n.,信；字母,B 中高級核心,名詞,—,—,—,
level,n.,程度；層級,B 中高級核心,名詞,—,—,—,
library,n.,圖書館,B 中高級核心,名詞,—,—,—,
lie,v.,躺；說謊,A 基礎必會,動詞,lay,lain,是,
life,n.,生命；生活,B 中高級核心,名詞,—,—,—,
light,n.,光,B 中高級核心,名詞,—,—,—,
likely,adj.,可能的,B 中高級核心,形容詞,—,—,—,
limit,v./n.,限制,B 中高級核心,動詞；名詞,limited,limited,否,
line,n.,線；排隊,B 中高級核心,名詞,—,—,—,
link,n.,連結,B 中高級核心,名詞,—,—,—,
list,n.,清單,B 中高級核心,名詞,—,—,—,
little,功能字/adj.,少量,A 基礎必會,文法／連接／介系詞；形容詞,—,—,—,
local,adj.,當地的,B 中高級核心,形容詞,—,—,—,
location,n.,位置；地點,B 中高級核心,名詞,—,—,—,
long,adj.,長的,B 中高級核心,形容詞,—,—,—,
look,n.,外表,B 中高級核心,名詞,—,—,—,
lose,v.,失去；輸,A 基礎必會,動詞,lost,lost,是,
loss,n.,損失,B 中高級核心,名詞,—,—,—,
love,n.,愛,B 中高級核心,名詞,—,—,—,
low,adj.,低的,B 中高級核心,形容詞,—,—,—,
lucky,adj.,幸運的,B 中高級核心,形容詞,—,—,—,
lunch,n.,午餐,B 中高級核心,名詞,—,—,—,
machine,n.,機器,B 中高級核心,名詞,—,—,—,
magazine,n.,雜誌,B 中高級核心,名詞,—,—,—,
main,adj.,主要的,B 中高級核心,形容詞,—,—,—,
mainly,adv.,主要地,B 中高級核心,副詞,—,—,—,
maintain,v.,維持,B 中高級核心,動詞,maintained,maintained,否,
major,adj.,主要的,B 中高級核心,形容詞,—,—,—,
make,v.,製作；使,A 基礎必會,動詞,made,made,是,
manage,v.,管理；設法做到,A 基礎必會,動詞,managed,managed,否,
management,n.,管理,B 中高級核心,名詞,—,—,—,
manager,n.,經理,B 中高級核心,名詞,—,—,—,
many,功能字,許多,A 基礎必會,文法／連接／介系詞,—,—,—,
map,n.,地圖,B 中高級核心,名詞,—,—,—,
market,n.,市場,B 中高級核心,名詞,—,—,—,
marriage,n.,婚姻,B 中高級核心,名詞,—,—,—,
married,adj.,已婚的,B 中高級核心,形容詞,—,—,—,
material,n.,材料；物質,B 中高級核心,名詞,—,—,—,
matter,n.,事情；物質,B 中高級核心,名詞,—,—,—,
may,功能字,可能；可以,A 基礎必會,文法／連接／介系詞,—,—,—,
maybe,adv.,也許,B 中高級核心,副詞,—,—,—,
me,功能字,我,A 基礎必會,文法／連接／介系詞,—,—,—,
meal,n.,一餐,B 中高級核心,名詞,—,—,—,
mean,v.,意思是；意味著,A 基礎必會,動詞,meant,meant,是,
meaning,n.,意思；意義,B 中高級核心,名詞,—,—,—,
meanwhile,adv.,同時；另一方面,B 中高級核心,副詞,—,—,—,
measure,v./n.,測量；措施,B 中高級核心,動詞；名詞,measured,measured,否,
media,n.,媒體,B 中高級核心,名詞,—,—,—,
medical,adj.,醫療的,B 中高級核心,形容詞,—,—,—,
medicine,n.,藥；醫學,B 中高級核心,名詞,—,—,—,
meet,v.,遇見；會面,A 基礎必會,動詞,met,met,是,
meeting,n.,會議,B 中高級核心,名詞,—,—,—,
member,n.,成員,B 中高級核心,名詞,—,—,—,
memory,n.,記憶,B 中高級核心,名詞,—,—,—,
mention,v.,提到,A 基礎必會,動詞,mentioned,mentioned,否,
message,n.,訊息,B 中高級核心,名詞,—,—,—,
method,n.,方法,B 中高級核心,名詞,—,—,—,
middle,n.,中間,B 中高級核心,名詞,—,—,—,
might,功能字,可能,A 基礎必會,文法／連接／介系詞,—,—,—,
mile,n.,英里,B 中高級核心,名詞,—,—,—,
milk,n.,牛奶,B 中高級核心,名詞,—,—,—,
mind,n.,心智,B 中高級核心,名詞,—,—,—,
minute,n.,分鐘,B 中高級核心,名詞,—,—,—,
mistake,n.,錯誤,B 中高級核心,名詞,—,—,—,
model,n.,模型；模範,B 中高級核心,名詞,—,—,—,
modern,adj.,現代的,B 中高級核心,形容詞,—,—,—,
moment,n.,片刻,B 中高級核心,名詞,—,—,—,
money,n.,錢,B 中高級核心,名詞,—,—,—,
month,n.,月份,B 中高級核心,名詞,—,—,—,
more,功能字,更多,A 基礎必會,文法／連接／介系詞,—,—,—,
morning,n.,早上,B 中高級核心,名詞,—,—,—,
most,功能字,最多,A 基礎必會,文法／連接／介系詞,—,—,—,
mother,n.,母親,B 中高級核心,名詞,—,—,—,
mountain,n.,山,B 中高級核心,名詞,—,—,—,
mouth,n.,嘴,B 中高級核心,名詞,—,—,—,
move,v.,移動,A 基礎必會,動詞,moved,moved,否,
movie,n.,電影,B 中高級核心,名詞,—,—,—,
much,功能字,很多,A 基礎必會,文法／連接／介系詞,—,—,—,
music,n.,音樂,B 中高級核心,名詞,—,—,—,
must,功能字,必須；一定,A 基礎必會,文法／連接／介系詞,—,—,—,
my,功能字,我的,A 基礎必會,文法／連接／介系詞,—,—,—,
name,n.,名字,B 中高級核心,名詞,—,—,—,
nation,n.,國家；民族,B 中高級核心,名詞,—,—,—,
national,adj.,國家的,B 中高級核心,形容詞,—,—,—,
natural,adj.,自然的；天生的,B 中高級核心,形容詞,—,—,—,
nature,n.,自然；本質,B 中高級核心,名詞,—,—,—,
nearly,adv.,幾乎,B 中高級核心,副詞,—,—,—,
necessary,adj.,必要的,B 中高級核心,形容詞,—,—,—,
need,v.,需要,A 基礎必會,動詞,needed,needed,否,
negative,adj.,負面的,B 中高級核心,形容詞,—,—,—,
neighbor,n.,鄰居,B 中高級核心,名詞,—,—,—,
neither,功能字,兩者皆不,A 基礎必會,文法／連接／介系詞,—,—,—,
network,n.,網路；人脈,B 中高級核心,名詞,—,—,—,
never,adv.,從不,B 中高級核心,副詞,—,—,—,
new,adj.,新的,B 中高級核心,形容詞,—,—,—,
news,n.,新聞,B 中高級核心,名詞,—,—,—,
newspaper,n.,報紙,B 中高級核心,名詞,—,—,—,
nice,adj.,好的；友善的,B 中高級核心,形容詞,—,—,—,
night,n.,夜晚,B 中高級核心,名詞,—,—,—,
no,功能字,沒有；不,A 基礎必會,文法／連接／介系詞,—,—,—,
noise,n.,噪音,B 中高級核心,名詞,—,—,—,
none,功能字,一個也沒有,A 基礎必會,文法／連接／介系詞,—,—,—,
normal,adj.,正常的,B 中高級核心,形容詞,—,—,—,
normally,adv.,通常；正常地,B 中高級核心,副詞,—,—,—,
notice,v.,注意到,B 中高級核心,動詞,noticed,noticed,否,
now,adv.,現在,B 中高級核心,副詞,—,—,—,
number,n.,數字,B 中高級核心,名詞,—,—,—,
object,n.,物體；目標,B 中高級核心,名詞,—,—,—,
obvious,adj.,明顯的,B 中高級核心,形容詞,—,—,—,
obviously,adv.,明顯地,B 中高級核心,副詞,—,—,—,
occasion,n.,場合；時機,B 中高級核心,名詞,—,—,—,
occur,v.,發生,B 中高級核心,動詞,occured,occured,否,
of,功能字,…的；由…構成,A 基礎必會,文法／連接／介系詞,—,—,—,
offer,v.,提供,A 基礎必會,動詞,offered,offered,否,
office,n.,辦公室；職位,B 中高級核心,名詞,—,—,—,
officer,n.,官員；警官,B 中高級核心,名詞,—,—,—,
often,adv.,常常,B 中高級核心,副詞,—,—,—,
oil,n.,油；石油,B 中高級核心,名詞,—,—,—,
old,adj.,老的；舊的,B 中高級核心,形容詞,—,—,—,
on,功能字,在…上,A 基礎必會,文法／連接／介系詞,—,—,—,
online,adj./adv.,線上的,B 中高級核心,形容詞；副詞,—,—,—,
only,adv.,只有；僅僅,B 中高級核心,副詞,—,—,—,
open,v./adj.,開著的,A 基礎必會,動詞；形容詞,opened,opened,否,
operate,v.,操作；營運,B 中高級核心,動詞,operated,operated,否,
operation,n.,操作；營運；手術,B 中高級核心,名詞,—,—,—,
opinion,n.,意見,B 中高級核心,名詞,—,—,—,
opportunity,n.,機會,B 中高級核心,名詞,—,—,—,
option,n.,選項,B 中高級核心,名詞,—,—,—,
or,功能字,或者；否則,A 基礎必會,文法／連接／介系詞,—,—,—,
order,n.,順序；訂單；命令,B 中高級核心,名詞,—,—,—,
ordinary,adj.,普通的,B 中高級核心,形容詞,—,—,—,
organization,n.,組織,B 中高級核心,名詞,—,—,—,
organize,v.,組織；整理,A 基礎必會,動詞,organized,organized,否,
original,adj.,原本的,B 中高級核心,形容詞,—,—,—,
other,功能字,其他的,A 基礎必會,文法／連接／介系詞,—,—,—,
our,功能字,我們的,A 基礎必會,文法／連接／介系詞,—,—,—,
out,adv.,出去,B 中高級核心,副詞,—,—,—,
outside,adv.,在外面,B 中高級核心,副詞,—,—,—,
over,功能字,在…上方；超過,A 基礎必會,文法／連接／介系詞,—,—,—,
owner,n.,擁有者,B 中高級核心,名詞,—,—,—,
page,n.,頁,B 中高級核心,名詞,—,—,—,
pain,n.,疼痛,B 中高級核心,名詞,—,—,—,
pair,n.,一對,B 中高級核心,名詞,—,—,—,
